Date,DEP_TIME,CARRIER,ORIGIN,Source,ORIGIN_CITY_NAME,DEST,Target,DEST_CITY_NAME,Delay
8/1/16,453,AA,ABQ,48,"Albuquerque, NM",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,122,AA,ANC,49,"Anchorage, AK",PHX,32,"Phoenix, AZ",0
8/1/16,545,AA,ATL,0,"Atlanta, GA",CLT,8,"Charlotte, NC",0
8/1/16,800,AA,ATL,0,"Atlanta, GA",LAX,21,"Los Angeles, CA",57
8/1/16,601,AA,ATL,0,"Atlanta, GA",LGA,22,"New York, NY",0
8/1/16,653,AA,ATL,0,"Atlanta, GA",MIA,26,"Miami, FL",0
8/1/16,626,AA,ATL,0,"Atlanta, GA",PHL,31,"Philadelphia, PA",0
8/1/16,655,AA,AUS,1,"Austin, TX",CLT,8,"Charlotte, NC",0
8/1/16,510,AA,AUS,1,"Austin, TX",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,654,AA,AUS,1,"Austin, TX",DFW,12,"Dallas/Fort Worth, TX",5
8/1/16,631,AA,AUS,1,"Austin, TX",LAX,21,"Los Angeles, CA",0
8/1/16,626,AA,AUS,1,"Austin, TX",MIA,26,"Miami, FL",2
8/1/16,757,AA,AUS,1,"Austin, TX",ORD,30,"Chicago, IL",0
8/1/16,615,AA,BDL,2,"Hartford, CT",CLT,8,"Charlotte, NC",8
8/1/16,627,AA,BDL,2,"Hartford, CT",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,624,AA,BNA,3,"Nashville, TN",CLT,8,"Charlotte, NC",0
8/1/16,550,AA,BNA,3,"Nashville, TN",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,628,AA,BNA,3,"Nashville, TN",LAX,21,"Los Angeles, CA",0
8/1/16,713,AA,BOI,50,"Boise, ID",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,631,AA,BOI,50,"Boise, ID",PHX,32,"Phoenix, AZ",0
8/1/16,458,AA,BOS,4,"Boston, MA",CLT,8,"Charlotte, NC",0
8/1/16,555,AA,BOS,4,"Boston, MA",DCA,10,"Washington, DC",0
8/1/16,458,AA,BOS,4,"Boston, MA",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,557,AA,BOS,4,"Boston, MA",JFK,19,"New York, NY",0
8/1/16,641,AA,BOS,4,"Boston, MA",LAX,21,"Los Angeles, CA",3
8/1/16,554,AA,BOS,4,"Boston, MA",LGA,22,"New York, NY",0
8/1/16,642,AA,BOS,4,"Boston, MA",MIA,26,"Miami, FL",0
8/1/16,554,AA,BOS,4,"Boston, MA",ORD,30,"Chicago, IL",0
8/1/16,501,AA,BOS,4,"Boston, MA",PHL,31,"Philadelphia, PA",5
8/1/16,615,AA,BOS,4,"Boston, MA",PHX,32,"Phoenix, AZ",0
8/1/16,620,AA,BUF,5,"Buffalo, NY",CLT,8,"Charlotte, NC",0
8/1/16,515,AA,BWI,6,"Baltimore, MD",CLT,8,"Charlotte, NC",0
8/1/16,718,AA,BWI,6,"Baltimore, MD",DFW,12,"Dallas/Fort Worth, TX",11
8/1/16,555,AA,BWI,6,"Baltimore, MD",MIA,26,"Miami, FL",0
8/1/16,709,AA,BWI,6,"Baltimore, MD",PHX,32,"Phoenix, AZ",19
8/1/16,649,AA,CLE,7,"Cleveland, OH",CLT,8,"Charlotte, NC",0
8/1/16,756,AA,CLE,7,"Cleveland, OH",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,22,AA,CLT,8,"Charlotte, NC",ATL,0,"Atlanta, GA",0
8/1/16,41,AA,CLT,8,"Charlotte, NC",BDL,2,"Hartford, CT",136
8/1/16,40,AA,CLT,8,"Charlotte, NC",BOS,4,"Boston, MA",8
8/1/16,104,AA,CLT,8,"Charlotte, NC",BUF,5,"Buffalo, NY",45
8/1/16,110,AA,CLT,8,"Charlotte, NC",DCA,10,"Washington, DC",52
8/1/16,109,AA,CLT,8,"Charlotte, NC",DEN,11,"Denver, CO",140
8/1/16,738,AA,CLT,8,"Charlotte, NC",DFW,12,"Dallas/Fort Worth, TX",0
8/1/16,149,AA,CLT,8,"Charlotte, NC",EWR,13,"Newark, NJ",74
8/1/16,109,AA,CLT,8,"Charlotte, NC",FLL,14,"Fort Lauderdale, FL",49
8/1/16,751,AA,CLT,8,"Charlotte, NC",IAH,17,"Houston, TX",0
8/1/16,11,AA,CLT,8,"Charlotte, NC",JAX,18,"Jacksonville, FL",9
8/1/16,729,AA,CLT,8,"Charlotte, NC",JFK,19,"New York, NY",0
8/1/16,741,AA,CLT,8,"Charlotte, NC",LAX,21,"Los Angeles, CA",0
8/1/16,758,AA,CLT,8,"Charlotte, NC",LGA,22,"New York, NY",24
8/1/16,243,AA,CLT,8,"Charlotte, NC",MCI,23,"Kansas City, MO",146
8/1/16,44,AA,CLT,8,"Charlotte, NC",MCO,24,"Orlando, FL",24
8/1/16,143,AA,CLT,8,"Charlotte, NC",MEM,25,"Memphis, TN",81
8/1/16,703,AA,CLT,8,"Charlotte, NC",MIA,26,"Miami, FL",0
8/1/16,26,AA,CLT,8,"Charlotte, NC",MSP,27,"Minneapolis, MN",115
8/1/16,44,AA,CLT,8,"Charlotte, NC",MSY,28,"New Orleans, LA",7
8/1/16,18,AA,CLT,8,"Charlotte, NC",PHL,31,"Philadelphia, PA",0
8/1/16,121,AA,CLT,8,"Charlotte, NC",PHX,32,"Phoenix, AZ",157
8/1/16,25,AA,CLT,8,"Charlotte, NC",PIT,33,"Pittsburgh, PA",2
8/1/16,749,AA,CLT,8,"Charlotte, NC",PVD,34,"Providence, RI",9
8/1/16,107,AA,CLT,8,"Charlotte, NC",RDU,35,"Raleigh/Durham, NC",34
